,project_id,fastq_id,library_id,fastq_path,genus,species,strain,assembly_name_of_new_projects,joshua_assembly_name,aligned_read_depth,stdev,TreeName,Fake ID
29,100_0000675,10348.2.157955.AGTTCC,AYSBT,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.2.157955.AGTTCC.fastq.gz,Brachypodium,distachyon,Spa-Nor-S16D,AYSBT.10348.2.157955.AGTTCC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_055_v0.fa,41.16,180.68,Bdist676,676
30,100_0000676,10343.8.157724.GATCAG,AYSBS,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.8.157724.GATCAG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S11D-2,AYSBS.10343.8.157724.GATCAG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_029_v0.fa,37.92,93.56,Bdist704,704
31,100_0000677,10348.6.157975.CACCGG,AYSCY,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.6.157975.CACCGG.fastq.gz,Brachypodium,distachyon,Spa-GU5-1,AYSCY.10348.6.157975.CACCGG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_063_v0.fa,56.31,165.76,Bdist677,677
32,100_0000678,10348.5.157970.ACTGAT,AYSCC,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.5.157970.ACTGAT.fastq.gz,Brachypodium,distachyon,Koz-2,AYSCC.10348.5.157970.ACTGAT.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_020_v0.fa,46.88,192.27,Bdist701,701
33,100_0000679,10348.3.157960.GTCCGC,AYSBP,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.3.157960.GTCCGC.fastq.gz,Brachypodium,distachyon,Ita-Sic-LPA3.2,AYSBP.10348.3.157960.GTCCGC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_042_v0.fa,53.95,201.25,Bdist686,686
34,300658_405535,2152.3.1802,IHOW,/global/dna/dm_archive/sdm/illumina/00/21/52/2152.3.1802.fastq.gz,Brachypodium,distachyon,BdTR13a,,,100.13,215.27,Bdist334,334
35,300658_405534,2152.5.1797,IHOX,/global/dna/dm_archive/sdm/illumina/00/21/52/2152.5.1797.fastq.gz,Brachypodium,distachyon,BdTR7a,,,87.7,201.07,Bdist329,329
36,300658_405533,2152.1.1796,IHOY,/global/dna/dm_archive/sdm/illumina/00/21/52/2152.1.1796.fastq.gz,Brachypodium,distachyon,BdTR1i,,,116.8,252.75,Bdist345,345
37,300658_404318,1957.4.1684,IAZT,/global/dna/dm_archive/sdm/illumina/00/19/57/1957.4.1684.fastq.gz,Brachypodium,distachyon,BdTR8i,,,121.55,259.03,Bdist348,348
38,300658_404319,1772.3.1600,IAGC,/global/dna/dm_archive/sdm/illumina/00/17/72/1772.3.1600.fastq.gz,Brachypodium,distachyon,Bd21Control,,,152.54,251.01,Bdist361,361
39,300658_404312,2001.4.1706,ICWB,/global/dna/dm_archive/sdm/illumina/00/20/01/2001.4.1706.fastq.gz,Brachypodium,distachyon,Adi-2,,,56.58,179.85,Bdist372,372
40,300658_404313,1957.5.1684,IBBB,/global/dna/dm_archive/sdm/illumina/00/19/57/1957.5.1684.fastq.gz,Brachypodium,distachyon,Kah-1,,,29.29,79.79,a,a
41,300658_404310,2038.2.1726,IFWU,/global/dna/dm_archive/sdm/illumina/00/20/38/2038.2.1726.fastq.gz,Brachypodium,distachyon,Bis-1,,,31.96,109.58,Bdist338,338
42,300658_404311,1883.5.1652,IAZI,/global/dna/dm_archive/sdm/illumina/00/18/83/1883.5.1652.fastq.gz,Brachypodium,distachyon,Tek-4,,,28.73,113.27,a,a
43,300658_404316,1909.1.1665,IAZN,/global/dna/dm_archive/sdm/illumina/00/19/09/1909.1.1665.fastq.gz,Brachypodium,distachyon,BdTR11A,,,44.61,150.14,a,a
44,300658_404317,1999.3.1704,ICHH,/global/dna/dm_archive/sdm/illumina/00/19/99/1999.3.1704.fastq.gz,Brachypodium,distachyon,BdTR11G,,,56.69,180.71,Bdist357,357
45,300658_404314,1999.4.1704,ICUU,/global/dna/dm_archive/sdm/illumina/00/19/99/1999.4.1704.fastq.gz,Brachypodium,distachyon,Kah-5,,,66.43,188.69,Bdist342,342
46,300658_404315,2041.1.1727,IBBA,/global/dna/dm_archive/sdm/illumina/00/20/41/2041.1.1727.fastq.gz,Brachypodium,distachyon,BdTR2B,,,112.88,263.1,Bdist376,376
47,100_0000719,8958.4.117162.CAAAAG,AGHZT,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.4.117162.CAAAAG.fastq.gz,Brachypodium,distachyon,Geo-G31i4,8958.4.117162.CAAAAG.anqdp.fa,Bdist_023_v0.fa,50.23,148.61,Bdist648,648
48,100_0000718,8957.2.117191.CAGATC,AGHZA,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.2.117191.CAGATC.fastq.gz,Brachypodium,distachyon,Geo-G34i2,8957.2.117191.CAGATC.anqdp.fa,Bdist_014_v0.fa,56.11,180.07,Bdist657,657
49,100_0000713,8958.8.117182.GACGAC,AGHWX,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.8.117182.GACGAC.fastq.gz,Brachypodium,distachyon,Kah-6,8958.8.117182.GACGAC.anqdp.fa,Bdist_052_v0.fa,49.76,168.46,Bdist664,664
50,100_0000712,8957.2.117191.GCCAAT,AGHWW,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.2.117191.GCCAAT.fastq.gz,Brachypodium,distachyon,Koz-5,8957.2.117191.GCCAAT.anqdp.fa,Bdist_035_v0.fa,55.59,169.96,Bdist650,650
51,100_0000711,8957.3.117195.GATCAG,AGHYU,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.3.117195.GATCAG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S11A.3,8957.3.117195.GATCAG.anqdp.fa,Bdist_043_v0.fa,38.77,127.97,a,a
52,100_0000710,8957.5.117205.GTAGAG,AGHYT,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.5.117205.GTAGAG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S11B-2,8957.5.117205.GTAGAG.anqdp.fa,Bdist_033_v0.fa,46.35,165.55,Bdist647,647
53,100_0000717,8957.4.117200.CCGTCC,AGHYZ,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.4.117200.CCGTCC.fastq.gz,Brachypodium,distachyon,Geo-G34i6,8957.4.117200.CCGTCC.anqdp.fa,Bdist_007_v0.fa,45.86,157.57,Bdist660,660
54,100_0000716,8958.5.117167.CAACTA,AGHYY,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.5.117167.CAACTA.fastq.gz,Brachypodium,distachyon,Ita-Sic-CSR-6,8958.5.117167.CAACTA.anqdp.fa,Bdist_028_v0.fa,60.48,184.39,Bdist683,683
55,100_0000715,8958.6.117172.CATGGC,AGHYX,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.6.117172.CATGGC.fastq.gz,Brachypodium,distachyon,Ita-Sic-CSR-7,8958.6.117172.CATGGC.anqdp.fa,Bdist_047_v0.fa,42.39,159.64,a,a
56,100_0000714,8958.8.117182.TAATCG,AGHYW,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.8.117182.TAATCG.fastq.gz,Brachypodium,distachyon,Ita-Sic-SLZ2.1,8958.8.117182.TAATCG.anqdp.fa,Bdist_001_v0.fa,54.09,119.7,Bdist679,679
57,100_0000005,IBd-483.interleaved,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/bionano_reformated_fastq/IBd-483.interleaved.anqdpht.fq.gz,Brachypodium,hybridum,Ibd-483,,,,,a,a
58,277_1000561,6000.2.34092,ABGR,/global/dna/dm_archive/sdm/illumina/00/60/00/6000.2.34092.fastq.gz,Brachypodium,distachyon,Arn1,,,135.89,240.5,Bdist355,355
59,277_1000567,6941.2.58254.GAGTGG,PNWH,/global/dna/dm_archive/sdm/illumina/00/69/41/6941.2.58254.GAGTGG.fastq.gz,Brachypodium,hybridum,BdTR6g,,,,,a,a
60,300152_400419,798.2.1041,GPFZ,/global/dna/dm_archive/sdm/illumina/00/07/98/798.2.1041.fastq.gz,Brachypodium,distachyon,Bd1-1,,,109.11,221.4,Bdist349,349
61,300658_406779,2342.5.1880,ISSN,/global/dna/dm_archive/sdm/illumina/00/23/42/2342.5.1880.fastq.gz,Brachypodium,distachyon,S8iiC,,,132.4,253.87,Bdist340,340
62,100_0000708,8958.7.117177.CTATAC,AGHYP,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.7.117177.CTATAC.fastq.gz,Brachypodium,distachyon,Spa-Nor-S17D-1,8958.7.117177.CTATAC.anqdp.fa,Bdist_002_v0.fa,47.24,150.41,Bdist696,696
63,300152_401854,1033.7.1150,GWWC,/global/dna/dm_archive/sdm/illumina/00/10/33/1033.7.1150.fastq.gz,Brachypodium,distachyon,Koz-3,,,46.13,95.28,Bdist368,368
64,300152_401851,677.3.845,GPIT,/global/dna/dm_archive/sdm/illumina/00/06/77/677.3.845.fastq.gz,Brachypodium,distachyon,Bd21-3_r,,,44.07,161.69,Bdist460,460
65,300152_401853,700.4.872,GPZC,/global/dna/dm_archive/sdm/illumina/00/07/00/700.4.872.fastq.gz,Brachypodium,distachyon,Bd30-1,,,82.67,192.47,Bdist344,344
66,300152_401852,671.3.916,GPIU,/global/dna/dm_archive/sdm/illumina/00/06/71/671.3.916.fastq.gz,Brachypodium,distachyon,Bd3-1_r,,,95.41,239.16,a,a
67,100_0000700,8957.5.117205.GTGAAA,AGHXZ,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.5.117205.GTGAAA.fastq.gz,Brachypodium,distachyon,Spa-Sou-HU3.4,8957.5.117205.GTGAAA.anqdp.fa,Bdist_054_v0.fa,52.91,177.67,Bdist688,688
68,100_0000701,8957.3.117195.GGCTAC,AGHYA,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.3.117195.GGCTAC.fastq.gz,Brachypodium,distachyon,Spa-Sou-GR6.4,8957.3.117195.GGCTAC.anqdp.fa,Bdist_006_v0.fa,36.66,121.28,Bdist656,656
69,100_0000702,8958.8.117182.TACAGC,AGHYB,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.8.117182.TACAGC.fastq.gz,Brachypodium,distachyon,Spa-Sou-CU1.6-1,8958.8.117182.TACAGC.anqdp.fa,Bdist_062_v0.fa,49.85,156.75,Bdist670,670
70,100_0000703,8958.6.117172.CATTTT,AGHYC,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.6.117172.CATTTT.fastq.gz,Brachypodium,distachyon,Spa-Sou-AB1.4-2,8958.6.117172.CATTTT.anqdp.fa,Bdist_013_v0.fa,47.45,174.9,Bdist685,685
71,100_0000704,8957.6.117210.GAGTGG,AGHYG,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.6.117210.GAGTGG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S6D-5,8957.6.117210.GAGTGG.anqdp.fa,Bdist_024_v0.fa,42.89,136.17,Bdist689,689
72,100_0000705,8957.5.117205.GTCCGC,AGHYH,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.5.117205.GTCCGC.fastq.gz,Brachypodium,distachyon,Spa-Nor-S6B-3,8957.5.117205.GTCCGC.anqdp.fa,Bdist_038_v0.fa,52.54,169.49,Bdist706,706
73,100_0000706,8957.3.117195.TAGCTT,AGHYN,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.3.117195.TAGCTT.fastq.gz,Brachypodium,distachyon,Spa-Nor-S22C.1,8957.3.117195.TAGCTT.anqdp.fa,Bdist_015_v0.fa,71.48,179.94,Bdist674,674
74,100_0000707,8957.1.117187.TTAGGC,AGHYO,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.1.117187.TTAGGC.fastq.gz,Brachypodium,distachyon,Spa-Nor-S22B-1,8957.1.117187.TTAGGC.anqdp.fa,Bdist_046_v0.fa,29.77,111.76,a,a
75,100_0000004,IBd-189.interleaved,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/bionano_reformated_fastq/IBd-189.interleaved.anqdpht.fq.gz,Brachypodium,hybridum,Ibd-189,,,,,a,a
76,100_0000003,IBd-107.interleaved,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/bionano_reformated_fastq/IBd-107.interleaved.anqdpht.fq.gz,Brachypodium,hybridum,Ibd-107,,,,,a,a
77,100_0000002,IBd-92.interleaved,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/bionano_reformated_fastq/IBd-92.interleaved.anqdpht.fq.gz,Brachypodium,stacei,Ibd-92,,,,,a,a
78,100_0000001,IBd-10.interleaved,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/bionano_reformated_fastq/IBd-10.interleaved.anqdpht.fq.gz,Brachypodium,stacei,Ibd-10,,,,,a,a
79,300658_404161,1999.5.1704,IAGO,/global/dna/dm_archive/sdm/illumina/00/19/99/1999.5.1704.fastq.gz,Brachypodium,distachyon,BdTR11I,,,89.97,209.67,Bdist363,363
80,300658_404160,1702.1.1553,HZHF,/global/dna/dm_archive/sdm/illumina/00/17/02/1702.1.1553.fastq.gz,Brachypodium,distachyon,BdTR10C,,,61.89,200.11,a,a
81,300658_404163,1710.3.1556,HZSU,/global/dna/dm_archive/sdm/illumina/00/17/10/1710.3.1556.fastq.gz,Brachypodium,distachyon,Bd2-3,,,52.79,146.65,Bdist353,353
82,300658_404162,1737.5.1585,HZZN,/global/dna/dm_archive/sdm/illumina/00/17/37/1737.5.1585.fastq.gz,Brachypodium,distachyon,Adi-12,,,68.36,197.92,Bdist359,359
83,300658_404164,1883.6.1652,IAZO,/global/dna/dm_archive/sdm/illumina/00/18/83/1883.6.1652.fastq.gz,Brachypodium,distachyon,Bd18-1,,,81.78,218.03,Bdist362,362
84,300658_404167,2271.4.1846,INZU,/global/dna/dm_archive/sdm/illumina/00/22/71/2271.4.1846.fastq.gz,Brachypodium,distachyon,Foz1,,,105.84,224.66,Bdist366,366
85,300658_404166,2388.7.1910,IUPZ,/global/dna/dm_archive/sdm/illumina/00/23/88/2388.7.1910.fastq.gz,Brachypodium,distachyon,Jer1,,,119.87,222.73,Bdist375,375
86,300658_404169,2263.1.1841,IOAA,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.1.1841.fastq.gz,Brachypodium,distachyon,Sig2,,,112.37,197.96,Bdist371,371
87,100_0000734,8957.6.117210.CGTACG,AGNAG,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.6.117210.CGTACG.fastq.gz,Brachypodium,distachyon,Alb-AL2E,8957.6.117210.CGTACG.anqdp.fa,Bdist_025_v0.fa,48.79,166.34,Bdist692,692
88,100_0000737,8957.3.117195.CTTGTA,AGHXT,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.3.117195.CTTGTA.fastq.gz,Brachypodium,distachyon,Adi-4,8957.3.117195.CTTGTA.anqdp.fa,Bdist_061_v0.fa,25.1,85.22,a,a
89,100_0000736,8957.5.117205.GTGGCC,AGHXS,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.5.117205.GTGGCC.fastq.gz,Brachypodium,distachyon,Adi-9,8957.5.117205.GTGGCC.anqdp.fa,Bdist_017_v0.fa,48.7,151.83,Bdist659,659
90,100_0000731,8957.1.117187.CGATGT,AGHZW,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.1.117187.CGATGT.fastq.gz,Brachypodium,distachyon,Arm-Arm3G,8957.1.117187.CGATGT.anqdp.fa,Bdist_036_v0.fa,54.04,137.35,Bdist662,662
91,100_0000730,8958.4.117162.ACTGAT,AGHXP,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.4.117162.ACTGAT.fastq.gz,Brachypodium,distachyon,BdTR10D,8958.4.117162.ACTGAT.anqdp.fa,Bdist_021_v0.fa,55.48,169.54,Bdist705,705
92,100_0000733,8958.4.117162.ATTCCT,AGHZY,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.4.117162.ATTCCT.fastq.gz,Brachypodium,distachyon,Alb-AL2F,8958.4.117162.ATTCCT.anqdp.fa,Bdist_048_v0.fa,52.51,161.74,Bdist691,691
93,100_0000732,8958.7.117177.CTAGCT,AGHZX,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.7.117177.CTAGCT.fastq.gz,Brachypodium,distachyon,Arm-Arm3A,8958.7.117177.CTAGCT.anqdp.fa,Bdist_011_v0.fa,56.07,146.21,Bdist661,661
94,300658_404969,2271.6.1846,INZS,/global/dna/dm_archive/sdm/illumina/00/22/71/2271.6.1846.fastq.gz,Brachypodium,distachyon,ABR5,,,110.62,219.83,Bdist379,379
95,300658_404968,2300.6.1858,IOGS,/global/dna/dm_archive/sdm/illumina/00/23/00/2300.6.1858.fastq.gz,Brachypodium,distachyon,ABR4,,,142.45,284.68,Bdist364,364
96,300658_404967,2263.3.1841,INZX,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.3.1841.fastq.gz,Brachypodium,distachyon,ABR3,,,118.25,218.21,Bdist343,343
97,300658_404966,2263.4.1841,INZT,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.4.1841.fastq.gz,Brachypodium,distachyon,ABR2,,,125.4,225.0,Bdist337,337
98,100_0000222,7915.1.86902.GTTTCG,SXPU,/global/dna/dm_archive/sdm/illumina/00/79/15/7915.1.86902.GTTTCG.fastq.gz,Brachypodium,stacei,ABR114,,,,,a,a
99,100_0000555,9505.1.135632.ATCACG,AOZWG,/global/dna/dm_archive/sdm/illumina/00/95/05/9505.1.135632.ATCACG.fastq.gz,Brachypodium,hybridum,Bhyb35,,,,,a,a
100,100_0000722,8958.4.117162.ATGAGC,AGHWZ,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.4.117162.ATGAGC.fastq.gz,Brachypodium,distachyon,Gaz-1,8958.4.117162.ATGAGC.anqdp.fa,Bdist_049_v0.fa,50.67,153.79,Bdist678,678
101,100_0000723,8957.6.117210.GTTTCG,AGHXA,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.6.117210.GTTTCG.fastq.gz,Brachypodium,distachyon,BdTR9M,8957.6.117210.GTTTCG.anqdp.fa,Bdist_032_v0.fa,46.31,126.73,Bdist666,666
102,300658_404170,2362.4.1890,IUHP,/global/dna/dm_archive/sdm/illumina/00/23/62/2362.4.1890.fastq.gz,Brachypodium,distachyon,Mur1,,,119.05,232.67,Bdist373,373
103,100_0000721,8958.6.117172.CAGGCG,AGHWY,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.6.117172.CAGGCG.fastq.gz,Brachypodium,distachyon,Gaz-2,8958.6.117172.CAGGCG.anqdp.fa,Bdist_008_v0.fa,72.36,188.21,Bdist693,693
104,100_0000726,8958.8.117182.TATAAT,AGHXG,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.8.117182.TATAAT.fastq.gz,Brachypodium,distachyon,BdTR13N,8958.8.117182.TATAAT.anqdp.fa,Bdist_056_v0.fa,51.21,187.06,Bdist654,654
